cutoff	SLX-16110-16111.i701_i502.bowtie2.sorted.uniq.bam	SLX-16110-16111.i701_i503.bowtie2.sorted.uniq.bam	SLX-16110-16111.i701_i507.bowtie2.sorted.uniq.bam	SLX-16110-16111.i701_i508.bowtie2.sorted.uniq.bam	SLX-16110-16111.i704_i502.bowtie2.sorted.uniq.bam	SLX-16110-16111.i704_i503.bowtie2.sorted.uniq.bam	SLX-16110-16111.i704_i507.bowtie2.sorted.uniq.bam	SLX-16110-16111.i704_i508.bowtie2.sorted.uniq.bam	SLX-16110-16111.i705_i502.bowtie2.sorted.uniq.bam	SLX-16110-16111.i705_i503.bowtie2.sorted.uniq.bam
0	0	0	0	0	0	0	0	0	0	0
0.05	0	0	0	0	0	0	0	0	0	0
0.1	0.0307402645466223	0.0305114263782243	0	0	0.0504198486130599	0.0514601904728312	0	0	0	0.0292990135754919
0.15	0.0874920678212048	0.0875115463554869	0.0670294778621544	0.0763018501588728	0.0504198486130599	0.0514601904728312	0.0817755224517487	0.0683794647723658	0.0564216960725637	0.0813101730611691
0.2	0.0874920678212048	0.0875115463554869	0.0670294778621544	0.0763018501588728	0.133037473742534	0.135840183869669	0.0817755224517487	0.0683794647723658	0.0564216960725637	0.0813101730611691
0.25	0.158376485761237	0.159567793559899	0.168385634253396	0.0763018501588728	0.133037473742534	0.135840183869669	0.0817755224517487	0.174295164752999	0.144241201836856	0.14564871483273
0.3	0.233203704142019	0.236019518436894	0.168385634253396	0.191062811659866	0.226478456399548	0.230886048418621	0.198971647810684	0.174295164752999	0.144241201836856	0.21366313764646
0.35	0.233203704142019	0.236019518436894	0.274238376568006	0.191062811659866	0.226478456399548	0.230886048418621	0.198971647810684	0.174295164752999	0.239999563408753	0.27971279501847
0.4	0.305041901664364	0.309792430599558	0.274238376568006	0.309118788020671	0.316429986732459	0.321699324890297	0.198971647810684	0.286793914447663	0.239999563408753	0.27971279501847
0.45	0.370381702197981	0.376966010907443	0.274238376568006	0.309118788020671	0.316429986732459	0.321699324890297	0.316188278028737	0.286793914447663	0.329686114575755	0.340730773151707
0.5	0.370381702197981	0.376966010907443	0.369527317338658	0.309118788020671	0.396294954968132	0.401539790912909	0.316188278028737	0.389070900766071	0.329686114575755	0.394830512421816
0.55	0.428046895815526	0.435763023357122	0.369527317338658	0.412436523227386	0.396294954968132	0.401539790912909	0.418386640159561	0.389070900766071	0.407383911262419	0.394830512421816
0.6	0.47786608158728	0.487004380334906	0.449081722766511	0.412436523227386	0.464218845944463	0.469852545695548	0.418386640159561	0.474969537478062	0.407383911262419	0.44229383060606
0.65	0.47786608158728	0.487004380334906	0.449081722766511	0.496089679003279	0.464218845944463	0.469852545695548	0.418386640159561	0.474969537478062	0.471653643925447	0.482942238498259
0.7	0.520825249152028	0.530824546649018	0.512941702863646	0.496089679003279	0.520975793024811	0.526273729503496	0.501239672855029	0.474969537478062	0.471653643925447	0.518151466397139
0.75	0.557481017238463	0.568167469621287	0.512941702863646	0.496089679003279	0.520975793024811	0.526273729503496	0.501239672855029	0.544722741984033	0.523700984008715	0.518151466397139
0.8	0.588888066145127	0.568167469621287	0.512941702863646	0.561402333433576	0.568041708599295	0.572690240153301	0.501239672855029	0.544722741984033	0.523700984008715	0.548397739284366
0.85	0.588888066145127	0.600446085363237	0.563539215259138	0.561402333433576	0.568041708599295	0.572690240153301	0.567073940521974	0.600347437092792	0.566397136785172	0.574424912137839
0.9	0.615965359640483	0.627963394704224	0.563539215259138	0.611803239035741	0.60728020048729	0.611379580944094	0.567073940521974	0.600347437092792	0.566397136785172	0.597064388925695
0.95	0.639464152052894	0.651685476694123	0.603333879659359	0.611803239035741	0.60728020048729	0.611379580944094	0.618961017448431	0.644723285852075	0.601147534788549	0.597064388925695
1	0.639464152052894	0.651685476694123	0.603333879659359	0.611803239035741	0.639265073400961	0.643590082715877	0.618961017448431	0.644723285852075	0.601147534788549	0.616816825296439
1.05	0.660102040011262	0.672653978585803	0.635481708566645	0.65069806415368	0.639265073400961	0.643590082715877	0.618961017448431	0.644723285852075	0.629870914177797	0.633970890687437
1.1	0.678362970566308	0.691057893688495	0.635481708566645	0.65069806415368	0.666410718037473	0.670592119507445	0.659602988402293	0.68013512519724	0.629870914177797	0.633970890687437
1.15	0.678362970566308	0.691057893688495	0.635481708566645	0.68137617806128	0.666410718037473	0.670592119507445	0.659602988402293	0.68013512519724	0.653753176227072	0.649257705678012
1.2	0.694243035081965	0.707396933124905	0.661410295686859	0.68137617806128	0.689267336892239	0.6935264513487	0.659602988402293	0.709240341672091	0.653753176227072	0.662765649762652
1.25	0.708631231116856	0.721663088703964	0.661410295686859	0.68137617806128	0.689267336892239	0.6935264513487	0.692196065050528	0.709240341672091	0.673966939127751	0.675138502156508
1.3	0.708631231116856	0.721663088703964	0.683067627555025	0.705682307323367	0.70916091024077	0.71318457603091	0.692196065050528	0.709240341672091	0.673966939127751	0.675138502156508
1.35	0.721550576194483	0.734739882305798	0.683067627555025	0.705682307323367	0.70916091024077	0.71318457603091	0.718805475360264	0.733136721095246	0.691509360814968	0.686148704693656
1.4	0.733333811055521	0.745980033686818	0.700840512218685	0.725832156228669	0.726419160666481	0.730241505285958	0.718805475360264	0.733136721095246	0.691509360814968	0.696379132943868
1.45	0.743788688711231	0.745980033686818	0.700840512218685	0.725832156228669	0.726419160666481	0.730241505285958	0.718805475360264	0.753287741427161	0.706576701411024	0.696379132943868
